Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
22,David Hamilton*,25,-0.1,15,39,33,2,4,2,0,0,0,2,1,6,10,0.121,0.256,0.182,0.438,22,0.215,21,6,1,0,0,0,0,6/4H,,hamilda03
23,Jorge Alfaro,30,-0.1,8,20,17,0,2,0,0,0,0,0,0,2,3,0.118,0.25,0.118,0.368,5,0.195,5,2,1,1,0,0,0,/2DH,,alfarjo01
24,Caleb Hamilton,28,-0.1,4,6,5,0,0,0,0,0,0,0,0,1,5,0,0.167,0,0.167,-49,0.115,-51,0,0,0,0,0,0,/2,,hamilca01
25,Kutter Crawford,27,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1/H,,crawfku01
26,Tayler Scott,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,scottta02
27,John Schreiber,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,schrejo01
28,Nick Pivetta,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,pivetni01
29,Garrett Whitlock,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,whitlga01
30,Chris Martin,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,CYA-12,martich02
31,Kenley Jansen#,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS,janseke01
