Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Gary Sánchez,29,0.8,128,471,419,42,86,24,0,16,61,2,0,40,136,0.205,0.282,0.377,0.659,88,0.291,84,158,12,7,0,5,0,2DH/3,,sanchga02
2,José Miranda,24,0.9,125,483,444,45,119,25,0,15,66,1,1,28,91,0.268,0.325,0.426,0.751,114,0.334,116,189,19,10,0,1,0,35D/H,,miranjo01
3,Jorge Polanco#,28,2.7,104,445,375,54,88,16,0,16,56,3,3,64,95,0.235,0.346,0.405,0.751,115,0.335,117,152,4,2,0,4,1,4/6DH,,polanjo01
4,Carlos Correa,27,5.3,136,590,522,70,152,24,1,22,64,0,1,61,121,0.291,0.366,0.467,0.834,138,0.367,140,244,18,3,0,4,2,*6/DH,,correca01
5,Gio Urshela,30,3,144,551,501,61,143,27,3,13,64,1,0,41,96,0.285,0.338,0.429,0.767,119,0.334,115,215,21,2,0,7,2,*5/DH6,,urshegi01
6,Nick Gordon*,26,1.7,136,443,405,45,110,28,4,9,50,6,4,19,105,0.272,0.316,0.427,0.743,111,0.326,111,173,8,10,3,6,1,7846H/1D5,,gordoni01
7,Gilberto Celestino,23,0.3,122,347,311,30,74,12,1,2,24,4,1,32,77,0.238,0.313,0.302,0.615,78,0.292,84,94,13,2,2,0,0,*87H/9,,celesgi01
8,Max Kepler*,29,2.1,115,446,388,54,88,18,1,9,43,3,2,49,66,0.227,0.318,0.348,0.666,92,0.305,95,135,7,5,0,4,1,*9/H8D,,keplema01
9,Luis Arráez*,25,4.2,144,603,547,88,173,31,1,8,49,4,4,50,43,0.316,0.375,0.42,0.795,128,0.355,132,230,6,3,0,3,2,34DH/5,ASMVP-13SS,arraelu01
10,Byron Buxton,28,3.9,92,382,340,61,76,13,3,28,51,6,0,34,116,0.224,0.306,0.526,0.833,133,0.369,138,179,0,7,0,1,0,8D/H,AS,buxtoby01
11,Ryan Jeffers,25,0.9,67,236,212,25,44,10,1,7,27,0,0,23,62,0.208,0.285,0.363,0.648,85,0.291,84,77,6,0,1,0,0,2/DH,,jeffery01
12,Trevor Larnach*,25,1.3,51,180,160,22,37,13,0,5,18,0,0,18,57,0.231,0.306,0.406,0.712,102,0.309,97,65,1,0,0,2,1,79/DH,,larnatr01
13,Jake Cave*,29,0.5,54,177,164,17,35,7,3,5,20,2,0,11,49,0.213,0.26,0.384,0.644,82,0.3,89,63,2,0,0,2,0,79/H8,,caveja01
14,Kyle Garlick,30,0.2,66,162,150,23,35,3,0,9,18,0,0,8,48,0.233,0.284,0.433,0.717,102,0.334,116,65,2,3,0,1,0,79H/D,,garliky01
15,Alex Kirilloff*,24,-0.3,45,156,144,14,36,7,0,3,21,0,0,5,36,0.25,0.29,0.361,0.651,86,0.297,88,52,5,4,0,2,0,73/9DH,,kirilal01
16,Jermaine Palacios,25,-0.6,30,77,70,8,10,0,0,2,6,0,0,4,27,0.143,0.184,0.229,0.413,18,0.206,22,16,2,0,1,2,0,64/H135,,palacje01
17,Miguel Sanó,29,-0.8,20,71,60,1,5,0,0,1,3,1,0,9,25,0.083,0.211,0.133,0.345,2,0.181,2,8,0,1,0,1,0,3/D,,sanomi01
18,Matt Wallner*,24,-0.2,18,65,57,4,13,3,0,2,10,1,0,6,25,0.228,0.323,0.386,0.709,103,0.31,95,22,0,2,0,0,1,9/DH,,wallnma01
19,Sandy León#,33,-0.4,25,65,56,6,10,3,0,0,4,0,0,7,23,0.179,0.27,0.232,0.502,46,0.233,40,13,1,0,2,0,0,2,,leonsa01
20,Mark Contreras*,27,0,28,61,58,9,7,1,0,3,6,1,0,1,21,0.121,0.148,0.293,0.441,22,0.209,21,17,2,1,0,1,0,8/9H7,,contrma01
21,Royce Lewis,23,0.3,12,41,40,5,12,4,0,2,5,0,0,1,5,0.3,0.317,0.55,0.867,143,0.37,141,22,2,0,0,0,0,8-Jun,,lewisro02
22,Tim Beckham,32,-0.6,12,25,25,1,2,0,0,0,1,0,0,0,9,0.08,0.08,0.08,0.16,-54,0.068,-77,2,2,0,0,0,0,/H7D3,,beckhti01
23,Caleb Hamilton,27,-0.3,22,23,18,5,1,0,0,1,1,0,0,4,14,0.056,0.227,0.222,0.449,30,0.219,29,4,0,0,1,0,0,2/H3D,,hamilca01
24,Billy Hamilton,31,-0.1,17,8,7,4,0,0,0,0,0,3,1,1,4,0,0.125,0,0.125,-60,0.119,-63,0,0,0,0,0,0,H/7D4,,hamilbi02
25,José Godoy*,27,0,2,5,3,2,0,0,0,0,0,0,0,2,2,0,0.4,0,0.4,29,0.275,73,0,0,0,0,0,0,/2,,godoyjo01
26,Jorge López,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS,lopezjo02
27,Michael Fulmer,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,fulmemi01
28,Jhoan Durán,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,duranjh01
29,Tyler Duffey,31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,duffety01
30,Caleb Thielbar,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,thielca01
