Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Jose Trevino,29,2.3,115,353,335,39,83,12,1,11,43,2,1,15,62,0.248,0.283,0.388,0.671,89,0.296,86,130,5,2,0,1,0,*2/HD,ASGG,trevijo01
2,Anthony Rizzo*,32,2.3,130,548,465,77,104,21,1,32,75,6,5,58,101,0.224,0.338,0.48,0.817,130,0.35,127,223,13,23,0,2,6,*3/DH,,rizzoan01
3,Gleyber Torres,25,4,140,572,526,73,135,28,1,24,76,10,5,39,129,0.257,0.31,0.451,0.761,113,0.334,114,237,12,3,1,3,2,*4/DH6,,torregl01
4,Isiah Kiner-Falefa,27,2.9,142,531,483,66,126,20,0,4,48,22,4,35,72,0.261,0.314,0.327,0.642,84,0.299,83,158,13,5,3,5,2,*6/5H,,kineris01
5,Josh Donaldson,36,2.2,132,546,478,59,106,28,0,15,62,2,2,54,148,0.222,0.308,0.374,0.682,93,0.311,98,179,13,8,0,6,1,5D/H,,donaljo02
6,Aaron Hicks#,32,1.5,130,453,384,54,83,9,2,8,40,10,3,62,109,0.216,0.33,0.313,0.642,85,0.304,90,120,10,4,1,2,3,*87H/D,,hicksaa01
7,Aaron Judge,30,10.5,157,696,570,133,177,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,210,0.463,208,391,14,6,0,5,19,*89D/H,ASMVP-1SS,judgeaa01
8,Joey Gallo*,28,0,82,273,233,32,37,4,1,12,24,2,0,40,106,0.159,0.282,0.339,0.621,76,0.286,78,79,0,0,0,0,0,79/H8D,,gallojo01
9,Giancarlo Stanton,32,0.7,110,452,398,53,84,7,0,31,78,0,0,50,137,0.211,0.297,0.462,0.759,112,0.331,111,184,8,0,0,3,2,D9/H7,AS,stantmi03
10,DJ LeMahieu,33,3.6,125,541,467,74,122,18,0,12,46,4,3,67,71,0.261,0.357,0.377,0.734,110,0.339,118,176,12,4,1,2,0,543/HD,GG,lemahdj01
11,Kyle Higashioka,32,0.6,83,248,229,27,52,7,0,10,31,0,1,12,52,0.227,0.264,0.389,0.653,83,0.284,79,89,5,1,2,4,0,2/HD,,higasky01
12,Marwin González#,33,0.8,85,207,184,20,34,7,0,6,18,3,0,14,54,0.185,0.255,0.321,0.576,63,0.273,66,59,8,4,3,2,0,6973H5/4D1,,gonzama01
13,Oswaldo Cabrera#,23,2,44,171,154,21,38,8,1,6,19,3,2,15,44,0.247,0.312,0.429,0.74,108,0.325,108,66,1,0,1,1,0,9/76345H,,cabreos01
14,Matt Carpenter*,36,2.3,47,154,128,28,39,9,0,15,37,0,0,19,35,0.305,0.412,0.727,1.138,216,0.476,218,93,2,5,1,1,1,D9H/375,,carpema01
15,Andrew Benintendi*,27,0.6,33,131,114,14,29,9,1,2,12,4,1,13,25,0.254,0.331,0.404,0.734,108,0.332,109,46,1,1,1,2,0,7/H,AS,beninan01
16,Miguel Andujar,27,0.2,27,100,96,9,22,2,0,1,8,4,0,3,22,0.229,0.25,0.281,0.531,51,0.279,67,27,0,0,0,1,0,7/DH3,,andujmi01
17,Oswald Peraza,22,0.5,18,57,49,8,15,3,0,1,2,2,0,6,9,0.306,0.404,0.429,0.832,138,0.396,153,21,3,2,0,0,0,6/4H,,perazos02
18,Harrison Bader,28,-0.1,14,49,46,3,10,3,0,0,9,2,1,2,15,0.217,0.245,0.283,0.528,50,0.23,38,13,0,0,0,1,0,8/H,,baderha01
19,Tim Locastro,29,-0.2,38,46,43,13,8,1,0,2,4,8,2,2,7,0.186,0.239,0.349,0.588,65,0.279,58,15,0,1,0,0,0,H7/89D,,locasti01
20,Estevan Florial*,24,-0.5,17,35,31,4,3,0,0,0,1,2,0,3,13,0.097,0.2,0.097,0.297,-11,0.168,-17,3,0,1,0,0,0,8/H7D,,flories01
21,Ronald Guzmán*,27,-0.2,3,6,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,-129,0,1,0,0,0,0,/3,,guzmaro01
22,Rob Brantly*,32,0,1,3,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1,175,0.419,176,2,0,0,0,0,0,/2,,brantro01
23,Jonathan Loáisiga,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,loaisjo01
24,Clarke Schmidt,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,schmicl01
