,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,Est. Payroll,Year,yearID,lgID,franchID,divID,Rank,G,Ghome,W,L,Covered,RoofType
52,SDP,2790074,34445,29.9,31.5,90,90,58110567,2007,2007,NL,SDP,W,3,163,81,89,74,False,Open
53,SEA,2672223,32588,29.9,28.1,96,97,106460833,2007,2007,AL,SEA,W,2,162,82,88,74,True,Retractable
54,SFG,3223215,39793,32.7,27.3,101,101,90219056,2007,2007,NL,SFG,W,5,162,81,71,91,False,Open
55,STL,3552180,43854,30.2,29.6,99,99,90286823,2007,2007,NL,STL,C,3,162,81,78,84,False,Open
56,TBD,1387603,17131,25.9,27.0,98,100,24623500,2007,2007,AL,TBD,E,5,162,81,66,96,True,Fixed
57,TEX,2353862,29060,29.4,27.7,101,101,68643675,2007,2007,AL,TEX,W,4,162,81,75,87,False,Open
58,TOR,2360644,29144,30.5,27.3,100,99,81942800,2007,2007,AL,TOR,E,3,162,81,83,79,True,Retractable
59,WSN,1943812,23998,27.9,27.5,94,95,36947500,2007,2007,NL,WSN,E,4,162,81,73,89,False,Open
60,ARI,2509924,30987,26.7,29.4,107,107,66202712,2008,2008,NL,ARI,W,2,162,81,82,80,True,Retractable
61,ATL,2532834,31270,27.2,28.6,98,97,102365683,2008,2008,NL,ATL,E,4,162,81,72,90,False,Open
62,BAL,1950075,24376,30.1,27.9,101,102,67196246,2008,2008,AL,BAL,E,5,161,81,68,93,False,Open
63,BOS,3048250,37633,29.8,29.2,107,106,133390035,2008,2008,AL,BOS,E,2,162,81,95,67,False,Open
64,CHC,3300200,40743,30.1,28.9,107,106,120345833,2008,2008,NL,CHC,C,1,161,81,97,64,False,Open
65,CHW,2500648,30496,30.6,28.3,104,105,121189332,2008,2008,AL,CHW,C,1,163,82,89,74,False,Open
66,CIN,2058632,25415,28.6,28.7,102,102,74167695,2008,2008,NL,CIN,C,5,162,81,74,88,False,Open
67,CLE,2169760,26787,27.6,28.6,98,97,78970066,2008,2008,AL,CLE,C,3,162,81,81,81,False,Open
68,COL,2650218,32719,27.5,28.5,109,109,68655500,2008,2008,NL,COL,W,3,162,81,74,88,False,Open
69,DET,3202645,39539,30.3,29.9,102,102,138785196,2008,2008,AL,DET,C,5,162,81,74,88,False,Open
70,FLA,1335076,16482,28.0,26.6,101,101,21811500,2008,2008,NL,FLA,E,3,161,81,84,77,True,Retractable
71,HOU,2779487,34744,31.1,30.9,97,98,87946807,2008,2008,NL,HOU,C,3,161,80,86,75,True,Retractable
