,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,Est. Payroll,Year,yearID,lgID,franchID,divID,Rank,G,Ghome,W,L,Covered,RoofType
216,CIN,2492101,31151,28.5,27.7,101,101,106255535,2013,2013,NL,CIN,C,3,162,80,90,72,False,Open
217,CLE,1572926,19419,28.7,27.5,95,95,87342433,2013,2013,AL,CLE,C,2,162,81,92,70,False,Open
218,COL,2793828,34492,27.7,28.3,118,119,73768000,2013,2013,NL,COL,W,5,162,81,74,88,False,Open
219,DET,3083397,38067,30.0,28.4,104,104,154407000,2013,2013,AL,DET,C,1,162,81,93,69,False,Open
220,HOU,1651883,20394,25.9,27.2,99,101,14672300,2013,2013,AL,HOU,W,5,162,81,51,111,True,Retractable
221,KCR,1750754,21614,26.9,28.9,103,103,87426250,2013,2013,AL,KCR,C,3,162,81,86,76,False,Open
222,ANA,3019505,37278,27.8,29.1,94,94,116532500,2013,2013,AL,ANA,W,3,162,81,78,84,False,Open
223,LAD,3743527,46216,30.6,28.1,96,95,254161000,2013,2013,NL,LAD,W,1,162,81,92,70,False,Open
224,FLA,1586322,19584,27.7,26.0,102,103,24761900,2013,2013,NL,FLA,E,5,162,81,62,100,True,Retractable
225,MIL,2531105,31248,27.9,28.8,103,103,86945000,2013,2013,NL,MIL,C,4,162,81,74,88,True,Retractable
226,MIN,2477644,30588,28.3,28.3,101,102,63042500,2013,2013,AL,MIN,C,4,162,81,66,96,False,Open
227,NYM,2135657,26366,28.3,29.1,94,95,69425860,2013,2013,NL,NYM,E,4,162,81,74,88,False,Open
228,NYY,3279589,40489,31.9,31.8,100,100,246534750,2013,2013,AL,NYY,E,4,162,81,85,77,False,Open
229,OAK,1809302,22337,28.3,28.3,98,97,69440000,2013,2013,AL,OAK,W,1,162,81,96,66,False,Open
230,PHI,3012403,37190,30.0,28.7,100,100,150860000,2013,2013,NL,PHI,E,4,162,81,73,89,False,Open
231,PIT,2256862,27862,27.9,28.7,95,95,99230000,2013,2013,NL,PIT,C,2,162,81,94,68,False,Open
232,SDP,2166691,26749,28.1,28.8,91,91,65988600,2013,2013,NL,SDP,W,3,162,81,76,86,False,Open
233,SEA,1761546,21747,28.6,28.0,92,92,78887000,2013,2013,AL,SEA,W,4,162,81,71,91,True,Retractable
234,SFG,3369106,41087,28.7,29.6,93,92,139845667,2013,2013,NL,SFG,W,4,162,82,76,86,False,Open
235,STL,3369769,41602,28.7,26.9,101,100,112583000,2013,2013,NL,STL,C,1,162,81,97,65,False,Open
236,TBD,1510300,18646,29.5,29.0,97,96,71163500,2013,2013,AL,TBD,E,2,163,81,92,71,True,Fixed
237,TEX,3178273,38759,29.6,27.9,103,103,139261200,2013,2013,AL,TEX,W,2,163,82,91,72,False,Open
238,TOR,2536562,31316,29.0,30.9,102,103,124517800,2013,2013,AL,TOR,E,5,162,81,74,88,True,Retractable
239,WSN,2652422,32746,27.7,27.7,103,101,112493250,2013,2013,NL,WSN,E,2,162,81,86,76,False,Open
240,ARI,2073730,25602,27.6,28.0,102,102,89926500,2014,2014,NL,ARI,W,5,162,81,64,98,True,Retractable
241,ATL,2354305,29065,26.8,27.3,98,97,108081500,2014,2014,NL,ATL,E,2,162,81,79,83,False,Open
242,BAL,2464473,30426,28.3,27.7,103,103,109097500,2014,2014,AL,BAL,E,1,162,81,96,66,False,Open
243,BOS,2956089,36495,29.2,29.9,104,104,134628929,2014,2014,AL,BOS,E,5,162,81,71,91,False,Open
244,CHC,2652113,32742,26.8,28.0,102,103,59800500,2014,2014,NL,CHC,C,5,162,81,73,89,False,Open
245,CHW,1650821,20381,27.7,27.4,97,98,87475500,2014,2014,AL,CHW,C,4,162,81,73,89,False,Open
246,CIN,2476664,30576,29.0,28.0,100,100,102230000,2014,2014,NL,CIN,C,4,162,81,76,86,False,Open
247,CLE,1437393,17746,28.6,27.2,103,102,73509399,2014,2014,AL,CLE,C,3,162,81,85,77,False,Open
248,COL,2680329,33090,27.4,28.5,116,116,95403500,2014,2014,NL,COL,W,4,162,81,66,96,False,Open
249,DET,2917209,36015,29.8,28.5,101,101,169135500,2014,2014,AL,DET,C,1,162,81,90,72,False,Open
250,HOU,1751829,21628,25.4,27.9,100,101,44736800,2014,2014,AL,HOU,W,4,162,81,70,92,True,Retractable
251,KCR,1956482,24154,28.2,28.9,104,103,89804075,2014,2014,AL,KCR,C,2,162,81,89,73,False,Open
252,ANA,3095935,38221,29.3,28.4,95,94,128667000,2014,2014,AL,ANA,W,1,162,81,98,64,False,Open
253,LAD,3782337,46696,29.3,29.9,96,95,233386026,2014,2014,NL,LAD,W,1,162,81,94,68,False,Open
254,FLA,1732283,21386,27.4,26.4,100,101,42365400,2014,2014,NL,FLA,E,4,162,81,77,85,True,Retractable
255,MIL,2797384,34536,28.8,29.0,103,103,109567000,2014,2014,NL,MIL,C,3,162,81,82,80,True,Retractable
256,MIN,2250606,27785,27.5,29.2,102,102,87044000,2014,2014,AL,MIN,C,5,162,81,70,92,False,Open
257,NYM,2148808,26528,28.4,28.9,94,94,82663615,2014,2014,NL,NYM,E,3,162,81,79,83,False,Open
258,NYY,3401624,41995,32.8,29.3,100,100,258118959,2014,2014,AL,NYY,E,2,162,81,84,78,False,Open
259,OAK,2003628,24736,29.6,28.2,98,97,89160900,2014,2014,AL,OAK,W,2,162,81,88,74,False,Open
260,PHI,2423852,29924,30.8,30.1,101,102,176444967,2014,2014,NL,PHI,E,5,162,81,73,89,False,Open
261,PIT,2442564,30155,27.3,28.1,99,98,80729000,2014,2014,NL,PIT,C,2,162,81,88,74,False,Open
262,SDP,2195373,27103,27.9,28.8,92,92,76662100,2014,2014,NL,SDP,W,3,162,81,77,85,False,Open
263,SEA,2064334,25486,27.5,29.0,95,95,95471000,2014,2014,AL,SEA,W,3,162,81,87,75,True,Retractable
264,SFG,3368697,41589,28.6,31.7,95,94,163510167,2014,2014,NL,SFG,W,2,162,81,88,74,False,Open
265,STL,3540649,43712,28.6,27.2,100,99,129932500,2014,2014,NL,STL,C,1,162,81,90,72,False,Open
266,TBD,1446464,17858,29.3,28.4,97,97,77814300,2014,2014,AL,TBD,E,4,162,81,77,85,True,Fixed
267,TEX,2718733,33565,28.4,27.9,104,104,129801239,2014,2014,AL,TEX,W,5,162,81,67,95,False,Open
268,TOR,2375525,29327,29.2,29.6,100,99,136466200,2014,2014,AL,TOR,E,3,162,81,83,79,True,Retractable
269,WSN,2579389,31844,28.8,28.3,104,102,137235080,2014,2014,NL,WSN,E,1,162,81,96,66,False,Open
270,ARI,2080145,25681,26.6,27.1,105,105,64434000,2015,2015,NL,ARI,W,3,162,81,79,83,True,Retractable
271,ATL,2001392,24709,28.8,26.6,97,98,104037500,2015,2015,NL,ATL,E,4,162,81,67,95,False,Open
272,BAL,2281202,29246,27.9,28.3,102,102,112989833,2015,2015,AL,BAL,E,3,162,78,81,81,False,Open
273,BOS,2880694,35564,28.3,28.6,107,107,183931900,2015,2015,AL,BOS,E,5,162,81,78,84,False,Open
274,CHC,2919122,36039,26.9,29.3,98,97,115306610,2015,2015,NL,CHC,C,3,162,81,97,65,False,Open
275,CHW,1755810,21677,28.2,27.8,96,97,112889700,2015,2015,AL,CHW,C,4,162,81,76,86,False,Open
276,CIN,2419506,29870,29.5,27.3,100,101,111572286,2015,2015,NL,CIN,C,5,162,81,64,98,False,Open
277,CLE,1388905,17361,28.0,27.3,107,107,59163766,2015,2015,AL,CLE,C,3,161,80,81,80,False,Open
278,COL,2506789,30948,28.0,28.7,118,118,96438600,2015,2015,NL,COL,W,5,162,81,68,94,False,Open
279,DET,2726048,33655,28.3,28.7,99,99,172284750,2015,2015,AL,DET,C,5,161,81,74,87,False,Open
280,HOU,2153585,26587,26.3,29.4,97,97,93256200,2015,2015,AL,HOU,W,2,162,81,86,76,True,Retractable
281,KCR,2708549,33439,29.1,30.0,104,104,121590475,2015,2015,AL,KCR,C,1,162,81,95,67,False,Open
282,ANA,3012765,37195,28.7,28.3,94,94,131522500,2015,2015,AL,ANA,W,3,162,81,85,77,False,Open
283,LAD,3764815,46479,29.5,28.1,95,94,265140429,2015,2015,NL,LAD,W,1,162,81,92,70,False,Open
284,FLA,1752235,21633,27.9,27.3,96,97,71231500,2015,2015,NL,FLA,E,3,162,81,71,91,True,Retractable
285,MIL,2542558,31390,28.1,28.4,100,101,70869500,2015,2015,NL,MIL,C,4,162,81,68,94,True,Retractable
286,MIN,2220054,27408,28.3,29.1,100,101,107755000,2015,2015,AL,MIN,C,2,162,81,83,79,False,Open
287,NYM,2569753,31725,28.6,28.2,97,97,98874473,2015,2015,NL,NYM,E,1,162,81,90,72,False,Open
288,NYY,3193795,39430,31.4,27.4,101,101,214051957,2015,2015,AL,NYY,E,2,162,81,87,75,False,Open
289,OAK,1768175,21829,27.9,27.8,97,97,64016001,2015,2015,AL,OAK,W,5,162,81,68,94,False,Open
290,PHI,1831080,22606,28.0,28.5,97,98,103082167,2015,2015,NL,PHI,E,5,162,81,63,99,False,Open
291,PIT,2498596,30847,28.2,29.6,99,99,104457499,2015,2015,NL,PIT,C,2,162,81,98,64,False,Open
292,SDP,2459752,30367,27.6,29.1,95,95,125203700,2015,2015,NL,SDP,W,4,162,81,74,88,False,Open
293,SEA,2193581,27081,28.6,28.6,95,95,130681400,2015,2015,AL,SEA,W,4,162,81,76,86,True,Retractable
294,SFG,3375882,41678,28.9,31.5,99,98,180018166,2015,2015,NL,SFG,W,2,162,81,84,78,False,Open
295,STL,3520889,43468,28.4,28.2,101,100,128241500,2015,2015,NL,STL,C,1,162,81,100,62,False,Open
296,TBD,1287054,15322,28.5,26.7,96,97,64571233,2015,2015,AL,TBD,E,4,162,84,80,82,True,Fixed
297,TEX,2491875,30764,28.7,28.1,105,105,178860789,2015,2015,AL,TEX,W,1,162,81,88,74,False,Open
298,TOR,2794891,34505,29.6,29.2,103,102,117917400,2015,2015,AL,TOR,E,1,162,81,93,69,True,Retractable
299,WSN,2619843,32344,28.4,28.6,102,101,176496372,2015,2015,NL,WSN,E,2,162,81,83,79,False,Open
300,ARI,2036216,25138,26.7,26.4,107,107,78399500,2016,2016,NL,ARI,W,4,162,81,69,93,True,Retractable
301,ATL,2020914,24950,28.9,26.4,98,99,74999750,2016,2016,NL,ATL,E,5,161,81,68,93,False,Open
302,BAL,2172344,26819,28.5,27.9,102,102,153744833,2016,2016,AL,BAL,E,2,162,81,89,73,False,Open
303,BOS,2955434,36487,28.5,29.0,106,106,218682750,2016,2016,AL,BOS,E,1,162,81,93,69,False,Open
304,CHC,3232420,39906,27.4,29.9,101,100,176097333,2016,2016,NL,CHC,C,1,162,81,103,58,False,Open
305,CHW,1746293,21559,28.3,28.6,96,96,113416000,2016,2016,AL,CHW,C,4,162,81,78,84,False,Open
306,CIN,1894085,23384,27.8,27.1,101,102,77329561,2016,2016,NL,CIN,C,5,162,81,68,94,False,Open
307,CLE,1591667,19650,29.0,28.1,109,107,94511067,2016,2016,AL,CLE,C,1,161,80,94,67,False,Open
308,COL,2602524,32130,27.8,27.7,116,116,89707000,2016,2016,NL,COL,W,3,162,81,75,87,False,Open
309,DET,2493859,31173,30.0,29.0,100,101,199902000,2016,2016,AL,DET,C,2,161,81,86,75,False,Open
310,HOU,2306623,28477,26.4,28.9,94,93,89498000,2016,2016,AL,HOU,W,3,162,81,84,78,True,Retractable
311,KCR,2557712,31577,28.5,29.9,102,102,125132675,2016,2016,AL,KCR,C,3,162,81,81,81,False,Open
312,ANA,3016142,37236,28.5,28.4,95,95,139712000,2016,2016,AL,ANA,W,4,162,81,74,88,False,Open
313,LAD,3703312,45720,28.9,28.9,97,96,231342096,2016,2016,NL,LAD,W,1,162,81,91,71,False,Open
314,FLA,1712417,21405,28.3,28.0,93,94,72472000,2016,2016,NL,FLA,E,3,161,80,79,82,True,Retractable
315,MIL,2314614,28575,27.5,28.1,102,102,52077500,2016,2016,NL,MIL,C,4,162,81,73,89,True,Retractable
316,MIN,1963912,24246,26.9,28.3,100,100,93333700,2016,2016,AL,MIN,C,5,162,81,59,103,False,Open
317,NYM,2789602,34440,29.5,28.4,96,96,155221282,2016,2016,NL,NYM,E,2,162,81,87,75,False,Open
318,NYY,3063405,37820,30.1,27.9,103,102,193229350,2016,2016,AL,NYY,E,4,162,81,84,78,False,Open
319,OAK,1521506,18784,28.7,27.9,96,97,54969067,2016,2016,AL,OAK,W,5,162,81,69,93,False,Open
320,PHI,1915144,23644,26.9,26.3,99,100,84846666,2016,2016,NL,PHI,E,4,162,81,71,91,False,Open
321,PIT,2249201,27768,28.9,28.6,99,99,81187933,2016,2016,NL,PIT,C,3,162,81,78,83,False,Open
322,SDP,2351422,29030,28.1,28.1,95,95,50656166,2016,2016,NL,SDP,W,5,162,81,68,94,False,Open
323,SEA,2267928,27999,30.5,28.8,96,96,137169100,2016,2016,AL,SEA,W,2,162,81,86,76,True,Retractable
324,SFG,3365256,41546,29.1,30.0,96,96,177021333,2016,2016,NL,SFG,W,2,162,81,87,75,False,Open
325,STL,3444490,42525,28.5,28.0,98,97,150353500,2016,2016,NL,STL,C,2,162,81,86,76,False,Open
326,TBD,1286163,15879,27.7,26.9,95,95,48223791,2016,2016,AL,TBD,E,5,162,81,68,94,True,Fixed
327,TEX,2710402,33462,28.4,28.8,107,108,212117760,2016,2016,AL,TEX,W,1,162,81,95,67,False,Open
328,TOR,3392099,41878,30.1,29.8,102,101,182690767,2016,2016,AL,TOR,E,2,162,81,89,73,True,Retractable
329,WSN,2481938,30641,28.8,29.1,103,102,152967400,2016,2016,NL,WSN,E,1,162,81,95,67,False,Open
330,ARI,2134375,26350,28.3,28.7,110,110,106580200,2017,2017,NL,ARI,W,2,162,81,93,69,True,Retractable
331,ATL,2505252,30929,28.6,29.4,98,98,119705250,2017,2017,NL,ATL,E,3,162,81,72,90,False,Open
332,BAL,2028424,25042,28.6,28.2,98,99,161621633,2017,2017,AL,BAL,E,5,162,81,75,87,False,Open
333,BOS,2917678,36021,27.3,28.4,105,104,200550750,2017,2017,AL,BOS,E,1,162,81,93,69,False,Open
334,CHC,3199562,39501,27.1,30.8,102,100,177210667,2017,2017,NL,CHC,C,1,162,81,92,70,False,Open
335,CHW,1629470,20117,26.7,28.7,98,98,97842000,2017,2017,AL,CHW,C,4,162,81,67,95,False,Open
336,CIN,1836917,22678,27.2,27.6,100,101,79315786,2017,2017,NL,CIN,C,5,162,81,68,94,False,Open
337,CLE,2048138,25286,28.1,28.9,106,104,114427167,2017,2017,AL,CLE,C,1,162,81,102,60,False,Open
338,COL,2953650,36465,28.3,27.0,115,115,106650000,2017,2017,NL,COL,W,3,162,81,87,75,False,Open
339,DET,2321599,28662,29.6,28.3,103,104,118375600,2017,2017,AL,DET,C,5,162,81,64,98,False,Open
340,HOU,2403671,29675,28.8,28.5,91,90,157656400,2017,2017,AL,HOU,W,1,162,81,101,61,True,Retractable
341,KCR,2220370,27412,28.9,30.3,102,102,127555817,2017,2017,AL,KCR,C,3,162,81,80,82,False,Open
342,ANA,3019585,37279,29.9,29.1,96,96,181125500,2017,2017,AL,ANA,W,2,162,81,80,82,False,Open
343,LAD,3765856,46492,27.9,29.7,97,96,201466263,2017,2017,NL,LAD,W,1,162,81,104,58,False,Open
344,FLA,1583014,20295,28.3,28.7,93,93,111591100,2017,2017,NL,FLA,E,2,162,78,77,85,True,Retractable
345,MIL,2627705,31282,27.4,28.3,101,101,68439300,2017,2017,NL,MIL,C,2,162,84,86,76,True,Retractable
346,MIN,2051279,25324,27.1,29.6,99,100,103932500,2017,2017,AL,MIN,C,2,162,81,85,77,False,Open
347,NYM,2460622,30378,28.9,27.5,97,97,176615252,2017,2017,NL,NYM,E,4,162,81,70,92,False,Open
348,NYY,3154938,38950,28.6,27.8,104,103,182424700,2017,2017,AL,NYY,E,2,162,81,91,71,False,Open
349,OAK,1475721,18219,28.7,27.9,96,97,51560000,2017,2017,AL,OAK,W,5,162,81,75,87,False,Open
350,PHI,1905354,23523,26.6,26.8,96,97,86276000,2017,2017,NL,PHI,E,5,162,81,66,96,False,Open
351,PIT,1919447,23697,28.2,27.1,99,99,102953333,2017,2017,NL,PIT,C,4,162,81,75,87,False,Open
352,SDP,2138491,26401,26.2,27.7,94,95,49248767,2017,2017,NL,SDP,W,4,162,81,71,91,False,Open
353,SEA,2135445,26364,29.6,27.8,97,97,172438700,2017,2017,AL,SEA,W,3,162,81,78,84,True,Retractable
354,SFG,3303652,40786,29.5,28.9,96,96,177399833,2017,2017,NL,SFG,W,5,162,81,64,98,False,Open
355,STL,3448337,42572,28.0,28.3,98,98,129652933,2017,2017,NL,STL,C,3,162,81,83,79,False,Open
356,TBD,1253619,15477,28.3,27.6,94,94,79473033,2017,2017,AL,TBD,E,3,162,81,80,82,True,Fixed
357,TEX,2507760,30960,28.4,28.8,107,107,207326274,2017,2017,AL,TEX,W,4,162,81,78,84,False,Open
358,TOR,3203886,39554,31.0,28.8,105,105,158890575,2017,2017,AL,TOR,E,4,162,81,76,86,True,Retractable
359,WSN,2524980,31173,29.2,30.1,103,102,175587301,2017,2017,NL,WSN,E,1,162,81,97,65,False,Open
360,ARI,2242695,27688,29.2,29.6,108,107,134850600,2018,2018,NL,ARI,W,3,162,81,82,80,True,Retractable
361,ATL,2555781,31553,27.4,27.7,100,100,115848667,2018,2018,NL,ATL,E,1,162,81,90,72,False,Open
362,BAL,1564192,19311,28.4,27.1,96,97,141555833,2018,2018,AL,BAL,E,5,162,81,47,115,False,Open
363,BOS,2895575,35748,27.7,28.9,104,102,222205000,2018,2018,AL,BOS,E,1,162,81,108,54,False,Open
364,CHC,3181089,38794,27.2,30.2,107,106,205373881,2018,2018,NL,CHC,C,2,163,82,95,68,False,Open
365,CHW,1608817,19862,26.5,27.6,97,98,75092000,2018,2018,AL,CHW,C,4,162,81,62,100,False,Open
366,CIN,1629356,20116,27.2,27.1,103,104,94587500,2018,2018,NL,CIN,C,5,162,81,67,95,False,Open
367,CLE,1926701,23786,29.4,29.4,104,102,143375233,2018,2018,AL,CLE,C,1,162,81,91,71,False,Open
368,COL,3015880,37233,28.7,27.9,117,116,136658500,2018,2018,NL,COL,W,2,163,81,91,72,False,Open
369,DET,1856970,22926,27.9,28.6,101,102,111531000,2018,2018,AL,DET,C,3,162,81,64,98,False,Open
370,HOU,2980549,36797,28.1,30.0,96,94,172781200,2018,2018,AL,HOU,W,1,162,81,103,59,True,Retractable
371,KCR,1665107,20557,28.6,27.6,99,100,95199167,2018,2018,AL,KCR,C,5,162,81,58,104,False,Open
372,ANA,3020216,37287,29.5,27.5,97,97,166849666,2018,2018,AL,ANA,W,4,162,81,80,82,False,Open
373,LAD,3857500,47043,28.1,29.2,98,96,164703429,2018,2018,NL,LAD,W,1,163,82,92,71,False,Open
374,FLA,811104,10014,27.5,27.6,89,90,86515143,2018,2018,NL,FLA,E,5,161,81,63,98,True,Retractable
375,MIL,2850875,35196,28.9,28.8,102,101,109295700,2018,2018,NL,MIL,C,1,163,81,96,67,True,Retractable
376,MIN,1959197,24188,28.2,28.5,102,102,110275000,2018,2018,AL,MIN,C,2,162,81,78,84,False,Open
377,NYM,2224995,27469,28.4,28.0,90,91,161403844,2018,2018,NL,NYM,E,4,162,81,77,85,False,Open
378,NYY,3482855,42998,27.2,28.8,104,102,160743032,2018,2018,AL,NYY,E,2,162,81,100,62,False,Open
379,OAK,1573616,19427,28.0,29.2,98,97,69883333,2018,2018,AL,OAK,W,2,162,81,97,65,False,Open
380,PHI,2158124,26644,26.7,26.8,102,103,93874333,2018,2018,NL,PHI,E,3,162,81,80,82,False,Open
381,PIT,1465316,18316,27.8,26.5,96,96,88141000,2018,2018,NL,PIT,C,4,161,80,82,79,False,Open
382,SDP,2168536,26772,26.9,27.7,94,95,93821067,2018,2018,NL,SDP,W,5,162,81,66,96,False,Open
383,SEA,2299489,28389,29.8,29.0,94,95,157090065,2018,2018,AL,SEA,W,3,162,81,89,73,True,Retractable
384,SFG,3156185,38965,29.8,28.6,95,96,202060277,2018,2018,NL,SFG,W,4,162,81,73,89,False,Open
385,STL,3403587,42020,28.1,26.7,97,96,157713667,2018,2018,NL,STL,C,3,162,81,88,74,False,Open
386,TBD,1154973,14259,27.1,27.1,97,97,46011667,2018,2018,AL,TBD,E,3,162,81,90,72,True,Fixed
387,TEX,2107107,26014,27.4,30.4,112,113,106099628,2018,2018,AL,TEX,W,5,162,81,67,95,False,Open
388,TOR,2325281,28707,29.0,29.3,97,98,151670772,2018,2018,AL,TOR,E,4,162,81,73,89,True,Retractable
389,WSN,2529604,31230,27.5,30.2,106,105,188886699,2018,2018,NL,WSN,E,2,162,81,82,80,False,Open
